non_ipa,ipa,chart,height/manner,place/color,misc1,misc2
AUTO(dʼ),dʼʷ,consonant,ejective,alveolar,voiced,labialized
AUTO(ɡʼ),ɡʼʷ,consonant,ejective,velar,voiced,labialized
AUTO(ɾ),ɾʷ,consonant,flap,alveolar,voiced,labialized
zW,zʷ,consonant,fricative,alveolar,voiced,labialized
zƒÄw,z͡ɣw,consonant,fricative,alveolar-to-velar,voiced,labialized
AUTO(z̪),z̪ʷ,consonant,fricative,dental,voiced,labialized
új,ɦʷ,consonant,fricative,glottal,voiced,labialized
vW,vʷ,consonant,fricative,labiodental,voiced,labialized
Z6w,ʒ̥ʷ,consonant,fricative,laminal-postalveolar,voiced,labialized
Öw,ʕʷ,consonant,fricative,pharyngeal,voiced,labialized
Zw,ʒʷ,consonant,fricative,postalveolar,voiced,labialized
ZW,ʒʷ,consonant,fricative,postalveolar,voiced,labialized
ZƒÄw,ʒ͡ɣw,consonant,fricative,postalveolar-to-velar,voiced,labialized
Òw,ʁʷ,consonant,fricative,uvular,voiced,labialized
Äw,ɣʷ,consonant,fricative,velar,voiced,labialized
ëW,ɗʷ,consonant,implosive,alveolar,voiced,labialized
ºW,ɓʷ,consonant,implosive,bilabial,voiced,labialized
AUTO(ʄ),ʄʷ,consonant,implosive,palatal,voiced,labialized
©w,ɠʷ,consonant,implosive,velar,voiced,labialized
lW,lʷ,consonant,lateral-approximant,lateral,voiced,labialized
nW,nʷ,consonant,nasal,alveolar,voiced,labialized
nƒNw,nŋw,consonant,nasal,alveolar-to-velar,voiced,labialized
mW,mʷ,consonant,nasal,bilabial,voiced,labialized
AUTO(n̪),n̪ʷ,consonant,nasal,dental,voiced,labialized
AUTO(ɲ),ɲʷ,consonant,nasal,palatal,voiced,labialized
øƒNw,ɲ͡ŋw,consonant,nasal,palatal-to-velar,voiced,labialized
AUTO(n̞),n̞ʷ,consonant,nasal,retracted_alveolar,voiced,labialized
÷w,ɳʷ,consonant,nasal,retroflex,voiced,labialized
NW,ŋʷ,consonant,nasal,velar,voiced,labialized
dW,dʷ,consonant,stop,alveolar,voiced,labialized
bW,bʷ,consonant,stop,bilabial,voiced,labialized
AUTO(d̪),d̪ʷ,consonant,stop,dental,voiced,labialized
