Grapheme	Name	Alias	advancedTongueRoot	anterior	approximant	back	click	consonantal	constrictedGlottis	continuant	coronal	delayedRelease	distributed	dorsal	epilaryngealSource	fortis	front	high	labial	labiodental	lateral	long	low	loweredLarynxImplosive	nasal	periodicGlottalSource	raisedLarynxEjective	retractedTongueRoot	round	short	sonorant	spreadGlottis	stress	strident	syllabic	tap	tense	tone	trill
a̰	latin small letter a - combining tilde below		-	0	+	-	0	-	+	+	-	0	0	+	-	0	-	-	-	0	-	-	+	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
a̰ː	latin small letter a - combining tilde below - modifier letter triangular colon		-	0	+	-	0	-	+	+	-	0	0	+	-	0	-	-	-	0	-	+	+	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
a̰ˑ	latin small letter a - combining tilde below - modifier letter half triangular colon		-	0	+	-	0	-	+	+	-	0	0	+	-	0	-	-	-	0	-	+	+	-	-	+	-	-	0	+	+	-	-	0	+	-	0	0	-
ã̰	latin small letter a - combining tilde below - combining tilde		-	0	+	-	0	-	+	+	-	0	0	+	-	0	-	-	-	0	-	-	+	-	+	+	-	-	0	-	+	-	-	0	+	-	0	0	-
aᴱ	latin small letter a - modifier letter capital e		-	0	+	-	0	-	-	+	-	0	0	+	+	0	-	-	-	0	-	-	+	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
b	latin small letter b		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	+	-	0	-	-	-	-	-	0	-	-	0	0	-
bv	latin small letter b - latin small letter v		0	0	-	0	-	+	-	-	-	+	0	-	-	-	0	0	+	+	-	-	0	-	-	+	-	0	-	-	-	-	-	0	-	-	0	0	-
bvʷ	latin small letter b - latin small letter v - modifier letter small w		0	0	-	0	-	+	-	-	-	+	0	-	-	-	0	0	+	-	-	-	0	-	-	+	-	0	+	-	-	-	-	0	-	-	0	0	-
bʰ	latin small letter b - modifier letter small h		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	-	-	0	-	-	-	+	-	0	-	-	0	0	-
bʱ	latin small letter b - modifier letter small h with hook		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	+	-	0	-	-	-	+	-	0	-	-	0	0	-
