Grapheme	Name	Alias	advancedTongueRoot	anterior	approximant	back	click	consonantal	constrictedGlottis	continuant	coronal	delayedRelease	distributed	dorsal	epilaryngealSource	fortis	front	high	labial	labiodental	lateral	long	low	loweredLarynxImplosive	nasal	periodicGlottalSource	raisedLarynxEjective	retractedTongueRoot	round	short	sonorant	spreadGlottis	stress	strident	syllabic	tap	tense	tone	trill
ɨ̞ː	latin small letter i with stroke - combining down tack below - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	+	-	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
ɨ̞̃	latin small letter i with stroke - combining down tack below - combining tilde		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	+	+	-	-	0	-	+	-	-	0	+	-	0	0	-
ɨ̞̃ː	latin small letter i with stroke - combining down tack below - combining tilde - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	+	-	-	+	+	-	-	0	-	+	-	-	0	+	-	0	0	-
ɨ̞̰	latin small letter i with stroke - combining down tack below - combining tilde below		-	0	+	-	0	-	+	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
ɨ̠	latin small letter i with stroke - combining minus sign below		-	-	+	-	0	-	-	+	-	0	+	+	-	0	-	+	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	+	0	-
ɨ̤	latin small letter i with stroke - combining diaeresis below		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	-	+	-	-	0	-	+	+	-	0	+	-	+	0	-
ɨ̥	latin small letter i with stroke - combining ring below		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	-	-	-	-	0	-	+	-	-	0	+	-	+	0	-
ɨ̰	latin small letter i with stroke - combining tilde below		-	0	+	-	0	-	+	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	+	0	-
ɨ̹	latin small letter i with stroke - combining right half ring below		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	+	0	-
ɨ̹ː	latin small letter i with stroke - combining right half ring below - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	+	-	-	-	+	-	-	0	-	+	-	-	0	+	-	+	0	-
ɪ	latin letter small capital i		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	-	0	-
ɪː	latin letter small capital i - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	-	0	-	+	-	-	-	+	-	-	0	-	+	-	-	0	+	-	-	0	-
ɪˠ	latin letter small capital i - modifier letter small gamma		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	-	0	-
ɪˤ	latin letter small capital i - modifier letter small reversed glottal stop		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	-	0	-	-	-	-	-	+	-	+	0	-	+	-	-	0	+	-	-	0	-
ɪ̃	latin letter small capital i - combining tilde		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	-	0	-	-	-	-	+	+	-	-	0	-	+	-	-	0	+	-	-	0	-
ɪ̃ː	latin letter small capital i - combining tilde - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	-	0	-	+	-	-	+	+	-	-	0	-	+	-	-	0	+	-	-	0	-
ɪ̆	latin letter small capital i - combining breve		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	-	0	-	-	-	-	-	+	-	-	0	+	+	-	-	0	+	-	-	0	-
ɪ̈	latin letter small capital i - combining diaeresis		-	0	+	-	0	-	-	+	-	0	0	+	-	0	0	+	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	-	0	-
ɪ̈ː	latin letter small capital i - combining diaeresis - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	0	+	-	0	-	+	-	-	-	+	-	-	0	-	+	-	-	0	+	-	-	0	-
ɪ̙	latin letter small capital i - combining right tack below		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	-	0	-	-	-	-	-	+	-	+	0	-	+	-	-	0	+	-	-	0	-
ɪ̙ː	latin letter small capital i - combining right tack below - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	-	0	-	+	-	-	-	+	-	+	0	-	+	-	-	0	+	-	-	0	-
ɪ̙ˠ	latin letter small capital i - combining right tack below - modifier letter small gamma		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	-	+	-	+	0	-	+	-	-	0	+	-	-	0	-
ɪ̝	latin letter small capital i - combining up tack below		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
ɪ̝ː	latin letter small capital i - combining up tack below - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	-	0	-	+	-	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
ɪ̞	latin letter small capital i - combining down tack below		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	0	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	-	0	-
ɪ̞̈	latin letter small capital i - combining down tack below - combining diaeresis		-	0	+	-	0	-	-	+	-	0	0	+	-	0	0	0	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	-	0	-
ɪ̠	latin letter small capital i - combining minus sign below		-	-	+	-	0	-	-	+	-	0	+	+	-	0	+	+	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	-	0	-
ɪ̤	latin letter small capital i - combining diaeresis below		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	-	0	-	-	-	-	-	+	-	-	0	-	+	+	-	0	+	-	-	0	-
ɪ̯	latin letter small capital i - combining inverted breve below		-	0	+	-	0	-	-	+	-	0	0	+	-	0	+	+	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	-	-	-	0	-
ɪ̰	latin letter small capital i - combining tilde below		-	0	+	-	0	-	+	+	-	0	0	+	-	0	+	+	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	-	0	-
ɫ	latin small letter l with middle tilde		0	+	+	+	-	+	-	+	+	0	-	+	-	-	-	-	-	0	+	-	-	-	-	+	-	0	0	-	+	-	-	-	-	-	0	0	-
ɫː	latin small letter l with middle tilde - modifier letter triangular colon		0	+	+	+	-	+	-	+	+	0	-	+	-	-	-	-	-	0	+	+	-	-	-	+	-	0	0	-	+	-	-	-	-	-	0	0	-
ɫ̥	latin small letter l with middle tilde - combining ring below		0	+	+	+	-	+	-	+	+	0	-	+	-	-	-	-	-	0	+	-	-	-	-	-	-	0	0	-	+	-	-	-	-	-	0	0	-
ɫ̪	latin small letter l with middle tilde - combining bridge below		0	+	+	+	-	+	-	+	+	0	+	+	-	-	-	-	-	0	+	-	-	-	-	+	-	0	0	-	+	-	-	-	-	-	0	0	-
ɫ̺	latin small letter l with middle tilde - combining inverted bridge below		0	+	+	+	-	+	-	+	+	0	-	+	-	-	-	-	-	0	+	-	-	-	-	+	-	0	0	-	+	-	-	-	-	-	0	0	-
ɫ̻	latin small letter l with middle tilde - combining square below		0	+	+	+	-	+	-	+	+	0	+	+	-	-	-	-	-	0	+	-	-	-	-	+	-	0	0	-	+	-	-	-	-	-	0	0	-
ɬ	latin small letter l with belt		0	+	-	0	-	+	-	+	+	+	-	-	-	-	0	0	-	0	+	-	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
ɬʲ	latin small letter l with belt - modifier letter small j		0	+	-	-	-	+	-	+	+	+	-	+	-	-	+	+	-	0	+	-	-	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
ɬʲʼ	latin small letter l with belt - modifier letter small j - modifier letter apostrophe		0	+	-	-	-	+	+	+	+	+	-	+	-	-	+	+	-	0	+	-	-	-	-	-	+	0	0	-	-	-	-	-	-	-	0	0	-
ɬʷ	latin small letter l with belt - modifier letter small w		0	+	-	0	-	+	-	+	+	+	-	-	-	-	0	0	+	-	+	-	0	-	-	-	-	0	+	-	-	-	-	-	-	-	0	0	-
ɬʼ	latin small letter l with belt - modifier letter apostrophe		0	+	-	0	-	+	+	+	+	+	-	-	-	-	0	0	-	0	+	-	0	-	-	-	+	0	0	-	-	-	-	-	-	-	0	0	-
ɬː	latin small letter l with belt - modifier letter triangular colon		0	+	-	0	-	+	-	+	+	+	-	-	-	-	0	0	-	0	+	+	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
ɬˠ	latin small letter l with belt - modifier letter small gamma		0	+	-	-	-	+	-	+	+	+	-	+	-	-	-	+	-	0	+	-	-	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
ɬ̪	latin small letter l with belt - combining bridge below		0	+	-	0	-	+	-	+	+	+	+	-	-	-	0	0	-	0	+	-	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
ɬ̪|ɬ	latin small letter l with belt - combining bridge below - vertical line - latin small letter l with belt		0	+	-	0	-	+	-	+	+	+	0	-	-	-	0	0	-	0	+	-	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
ɬ̪ʲ	latin small letter l with belt - combining bridge below - modifier letter small j		0	+	-	-	-	+	-	+	+	+	+	+	-	-	+	+	-	0	+	-	-	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
ɬ̪ʲ|ɬʲ	latin small letter l with belt - combining bridge below - modifier letter small j - vertical line - latin small letter l with belt - modifier letter small j		0	+	-	-	-	+	-	+	+	+	0	+	-	-	+	+	-	0	+	-	-	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
ɬ̪ʲʼ	latin small letter l with belt - combining bridge below - modifier letter small j - modifier letter apostrophe		0	+	-	-	-	+	+	+	+	+	+	+	-	-	+	+	-	0	+	-	-	-	-	-	+	0	0	-	-	-	-	-	-	-	0	0	-
ɬ̪ʷ|ɬʷ	latin small letter l with belt - combining bridge below - modifier letter small w - vertical line - latin small letter l with belt - modifier letter small w		0	+	-	0	-	+	-	+	+	+	0	-	-	-	0	0	+	-	+	-	0	-	-	-	-	0	+	-	-	-	-	-	-	-	0	0	-
ɬ̪ʷː|ɬʷː	latin small letter l with belt - combining bridge below - modifier letter small w - modifier letter triangular colon - vertical line - latin small letter l with belt - modifier letter small w - modifier letter triangular colon		0	+	-	0	-	+	-	+	+	+	0	-	-	-	0	0	+	-	+	+	0	-	-	-	-	0	+	-	-	-	-	-	-	-	0	0	-
ɬ̪ʼ|ɬʼ	latin small letter l with belt - combining bridge below - modifier letter apostrophe - vertical line - latin small letter l with belt - modifier letter apostrophe		0	+	-	0	-	+	+	+	+	+	0	-	-	-	0	0	-	0	+	-	0	-	-	-	+	0	0	-	-	-	-	-	-	-	0	0	-
ɬ̪ː	latin small letter l with belt - combining bridge below - modifier letter triangular colon		0	+	-	0	-	+	-	+	+	+	+	-	-	-	0	0	-	0	+	+	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
ɬ̪ː|ɬː	latin small letter l with belt - combining bridge below - modifier letter triangular colon - vertical line - latin small letter l with belt - modifier letter triangular colon		0	+	-	0	-	+	-	+	+	+	0	-	-	-	0	0	-	0	+	+	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
ɬ̪̺	latin small letter l with belt - combining bridge below - combining inverted bridge below		0	+	-	0	-	+	-	+	+	+	-	-	-	-	0	0	-	0	+	-	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
ɬ̻	latin small letter l with belt - combining square below		0	+	-	0	-	+	-	+	+	+	+	-	-	-	0	0	-	0	+	-	0	-	-	-	-	0	0	-	-	-	-	-	-	-	0	0	-
ɭ	latin small letter l with retroflex hook		0	-	+	0	-	+	-	+	+	0	-	-	-	-	0	0	-	0	+	-	0	-	-	+	-	0	0	-	+	-	-	-	-	-	0	0	-
ɭʷ	latin small letter l with retroflex hook - modifier letter small w		0	-	+	0	-	+	-	+	+	0	-	-	-	-	0	0	+	-	+	-	0	-	-	+	-	0	+	-	+	-	-	-	-	-	0	0	-
ɭː	latin small letter l with retroflex hook - modifier letter triangular colon		0	-	+	0	-	+	-	+	+	0	-	-	-	-	0	0	-	0	+	+	0	-	-	+	-	0	0	-	+	-	-	-	-	-	0	0	-
ɭ̟	latin small letter l with retroflex hook - combining plus sign below		0	0	+	0	-	+	-	+	+	0	-	-	-	-	0	0	-	0	+	-	0	-	-	+	-	0	0	-	+	-	-	-	-	-	0	0	-
ɭ̤	latin small letter l with retroflex hook - combining diaeresis below		0	-	+	0	-	+	-	+	+	0	-	-	-	-	0	0	-	0	+	-	0	-	-	+	-	0	0	-	+	+	-	-	-	-	0	0	-
ɭ̥	latin small letter l with retroflex hook - combining ring below		0	-	+	0	-	+	-	+	+	0	-	-	-	-	0	0	-	0	+	-	0	-	-	-	-	0	0	-	+	-	-	-	-	-	0	0	-
ɭ̩	latin small letter l with retroflex hook - combining vertical line below		0	-	+	0	-	+	-	+	+	0	-	-	-	-	0	0	-	0	+	-	0	-	-	+	-	0	0	-	+	-	-	-	+	-	0	0	-
ɭ̺	latin small letter l with retroflex hook - combining inverted bridge below		0	-	+	0	-	+	-	+	+	0	-	-	-	-	0	0	-	0	+	-	0	-	-	+	-	0	0	-	+	-	-	-	-	-	0	0	-
ɭ͓	latin small letter l with retroflex hook - combining x below		0	-	+	0	-	+	-	+	+	+	-	-	-	-	0	0	-	0	+	-	0	-	-	+	-	0	0	-	+	-	-	-	-	-	0	0	-
ɮ	latin small letter lezh		0	+	-	0	-	+	-	+	+	+	-	-	-	-	0	0	-	0	+	-	0	-	-	+	-	0	0	-	-	-	-	-	-	-	0	0	-
ɮʲ	latin small letter lezh - modifier letter small j		0	+	-	-	-	+	-	+	+	+	-	+	-	-	+	+	-	0	+	-	-	-	-	+	-	0	0	-	-	-	-	-	-	-	0	0	-
ɮʼ	latin small letter lezh - modifier letter apostrophe		0	+	-	0	-	+	+	+	+	+	-	-	-	-	0	0	-	0	+	-	0	-	-	-	+	0	0	-	-	-	-	-	-	-	0	0	-
ɮ̤	latin small letter lezh - combining diaeresis below		0	+	-	0	-	+	-	+	+	+	-	-	-	-	0	0	-	0	+	-	0	-	-	+	-	0	0	-	-	+	-	-	-	-	0	0	-
ɮ̪	latin small letter lezh - combining bridge below		0	+	-	0	-	+	-	+	+	+	+	-	-	-	0	0	-	0	+	-	0	-	-	+	-	0	0	-	-	-	-	-	-	-	0	0	-
ɮ̪|ɮ	latin small letter lezh - combining bridge below - vertical line - latin small letter lezh		0	+	-	0	-	+	-	+	+	+	0	-	-	-	0	0	-	0	+	-	0	-	-	+	-	0	0	-	-	-	-	-	-	-	0	0	-
ɮ̪ʲ	latin small letter lezh - combining bridge below - modifier letter small j		0	+	-	-	-	+	-	+	+	+	+	+	-	-	+	+	-	0	+	-	-	-	-	+	-	0	0	-	-	-	-	-	-	-	0	0	-
ɮ̺	latin small letter lezh - combining inverted bridge below		0	+	-	0	-	+	-	+	+	+	-	-	-	-	0	0	-	0	+	-	0	-	-	+	-	0	0	-	-	-	-	-	-	-	0	0	-
ɯ	latin small letter turned m		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	+	0	-
ɯː	latin small letter turned m - modifier letter triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	+	-	-	-	+	-	-	0	-	+	-	-	0	+	-	+	0	-
ɯˑ	latin small letter turned m - modifier letter half triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	+	-	-	-	+	-	-	0	+	+	-	-	0	+	-	+	0	-
ɯ̃	latin small letter turned m - combining tilde		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	+	+	-	-	0	-	+	-	-	0	+	-	+	0	-
ɯ̃ː	latin small letter turned m - combining tilde - modifier letter triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	+	-	-	+	+	-	-	0	-	+	-	-	0	+	-	+	0	-
ɯ̆	latin small letter turned m - combining breve		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	-	+	-	-	0	+	+	-	-	0	+	-	+	0	-
ɯ̙	latin small letter turned m - combining right tack below		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	-	+	-	+	0	-	+	-	-	0	+	-	+	0	-
ɯ̝	latin small letter turned m - combining up tack below		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	+	0	-
ɯ̞	latin small letter turned m - combining down tack below		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
ɯ̞̆	latin small letter turned m - combining down tack below - combining breve		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	-	+	-	-	0	+	+	-	-	0	+	-	0	0	-
ɯ̞̯	latin small letter turned m - combining down tack below - combining inverted breve below		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	-	-	0	0	-
ɯ̟	latin small letter turned m - combining plus sign below		-	0	+	0	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	+	0	-
ɯ̤	latin small letter turned m - combining diaeresis below		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	-	+	-	-	0	-	+	+	-	0	+	-	+	0	-
ɯ̤ː	latin small letter turned m - combining diaeresis below - modifier letter triangular colon		-	0	+	+	0	-	-	+	-	0	0	+	-	0	-	+	-	0	-	+	-	-	-	+	-	-	0	-	+	+	-	0	+	-	+	0	-
ɯ̰	latin small letter turned m - combining tilde below		-	0	+	+	0	-	+	+	-	0	0	+	-	0	-	+	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	+	0	-
ɯ̰̽ː	latin small letter turned m - combining tilde below - combining x above - modifier letter triangular colon		-	0	+	0	0	-	+	+	-	0	0	+	-	0	-	0	-	0	-	+	-	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
ɯ̽	latin small letter turned m - combining x above		-	0	+	0	0	-	-	+	-	0	0	+	-	0	-	0	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
ɯ̽ː	latin small letter turned m - combining x above - modifier letter triangular colon		-	0	+	0	0	-	-	+	-	0	0	+	-	0	-	0	-	0	-	+	-	-	-	+	-	-	0	-	+	-	-	0	+	-	0	0	-
ɯ͓	latin small letter turned m - combining x below		-	0	+	+	0	-	-	+	-	+	0	+	-	0	-	+	-	0	-	-	-	-	-	+	-	-	0	-	+	-	-	0	+	-	+	0	-
ɰ	latin small letter turned m with long leg		0	0	+	+	-	-	-	+	-	0	0	+	-	-	-	+	-	0	-	-	-	-	-	+	-	0	0	-	+	-	-	0	-	-	+	0	-
ɰ̃	latin small letter turned m with long leg - combining tilde		0	0	+	+	-	-	-	+	-	0	0	+	-	-	-	+	-	0	-	-	-	-	+	+	-	0	0	-	+	-	-	0	-	-	+	0	-
ɰ̰	latin small letter turned m with long leg - combining tilde below		0	0	+	+	-	-	+	+	-	0	0	+	-	-	-	+	-	0	-	-	-	-	-	+	-	0	0	-	+	-	-	0	-	-	+	0	-
ɱ	latin small letter m with hook		0	0	-	0	-	+	-	-	-	0	0	-	-	-	0	0	+	+	-	-	0	-	+	+	-	0	-	-	+	-	-	0	-	-	0	0	-
ɲ	latin small letter n with left hook		0	-	-	-	-	+	-	-	+	0	+	+	-	-	+	+	-	0	-	-	-	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
ɲʱ	latin small letter n with left hook - modifier letter small h with hook		0	-	-	-	-	+	-	-	+	0	+	+	-	-	+	+	-	0	-	-	-	-	+	+	-	0	0	-	+	+	-	-	-	-	0	0	-
ɲʷ	latin small letter n with left hook - modifier letter small w		0	-	-	-	-	+	-	-	+	0	+	+	-	-	+	+	+	-	-	-	-	-	+	+	-	0	+	-	+	-	-	-	-	-	0	0	-
ɲʼ	latin small letter n with left hook - modifier letter apostrophe		0	-	-	-	-	+	+	-	+	0	+	+	-	-	+	+	-	0	-	-	-	-	+	-	+	0	0	-	+	-	-	-	-	-	0	0	-
ɲː	latin small letter n with left hook - modifier letter triangular colon		0	-	-	-	-	+	-	-	+	0	+	+	-	-	+	+	-	0	-	+	-	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
ɲ̊	latin small letter n with left hook - combining ring above		0	-	-	-	-	+	-	-	+	0	+	+	-	-	+	+	-	0	-	-	-	-	+	-	-	0	0	-	+	-	-	-	-	-	0	0	-
ɲ̟	latin small letter n with left hook - combining plus sign below		0	+	-	-	-	+	-	-	+	0	+	+	-	-	+	+	-	0	-	-	-	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
ɲ̟̥	latin small letter n with left hook - combining plus sign below - combining ring below		0	+	-	-	-	+	-	-	+	0	+	+	-	-	+	+	-	0	-	-	-	-	+	-	-	0	0	-	+	-	-	-	-	-	0	0	-
ɲ̠	latin small letter n with left hook - combining minus sign below		0	-	-	-	-	+	-	-	+	0	+	+	-	-	+	+	-	0	-	-	-	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
ɲ̤	latin small letter n with left hook - combining diaeresis below		0	-	-	-	-	+	-	-	+	0	+	+	-	-	+	+	-	0	-	-	-	-	+	+	-	0	0	-	+	+	-	-	-	-	0	0	-
ɲ̤ʱ	latin small letter n with left hook - combining diaeresis below - modifier letter small h with hook		0	-	-	-	-	+	-	-	+	0	+	+	-	-	+	+	-	0	-	-	-	-	+	+	-	0	0	-	+	+	-	-	-	-	0	0	-
ɲ̥	latin small letter n with left hook - combining ring below		0	-	-	-	-	+	-	-	+	0	+	+	-	-	+	+	-	0	-	-	-	-	+	-	-	0	0	-	+	-	-	-	-	-	0	0	-
ɲ̥ɲ̥	latin small letter n with left hook - combining ring below - latin small letter n with left hook - combining ring below		0	-	-	-	-	+	-	-	+	0	+	+	-	-	+	+	-	0	-	-	-	-	+	-	-	0	0	-	+	-	-	-	-	-	0	0	-
ɲ̩	latin small letter n with left hook - combining vertical line below		0	-	-	-	-	+	-	-	+	0	+	+	-	-	+	+	-	0	-	-	-	-	+	+	-	0	0	-	+	-	-	-	+	-	0	0	-
ɲ̰	latin small letter n with left hook - combining tilde below		0	-	-	-	-	+	+	-	+	0	+	+	-	-	+	+	-	0	-	-	-	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
ɲ̻	latin small letter n with left hook - combining square below		0	-	-	-	-	+	-	-	+	0	+	+	-	-	+	+	-	0	-	-	-	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
ɲ̻̟	latin small letter n with left hook - combining square below - combining plus sign below		0	+	-	-	-	+	-	-	+	0	+	+	-	-	+	+	-	0	-	-	-	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
ɲᶣ	latin small letter n with left hook - modifier letter small turned h		0	-	-	-	-	+	-	-	+	0	+	+	-	-	+	+	+	-	-	-	-	-	+	+	-	0	+	-	+	-	-	-	-	-	0	0	-
ɳ	latin small letter n with retroflex hook		0	-	-	0	-	+	-	-	+	0	-	-	-	-	0	0	-	0	-	-	0	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
ɳʱ	latin small letter n with retroflex hook - modifier letter small h with hook		0	-	-	0	-	+	-	-	+	0	-	-	-	-	0	0	-	0	-	-	0	-	+	+	-	0	0	-	+	+	-	-	-	-	0	0	-
ɳʷ	latin small letter n with retroflex hook - modifier letter small w		0	-	-	0	-	+	-	-	+	0	-	-	-	-	0	0	+	-	-	-	0	-	+	+	-	0	+	-	+	-	-	-	-	-	0	0	-
ɳ̟	latin small letter n with retroflex hook - combining plus sign below		0	0	-	0	-	+	-	-	+	0	-	-	-	-	0	0	-	0	-	-	0	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
ɳ̤	latin small letter n with retroflex hook - combining diaeresis below		0	-	-	0	-	+	-	-	+	0	-	-	-	-	0	0	-	0	-	-	0	-	+	+	-	0	0	-	+	+	-	-	-	-	0	0	-
ɳ̥	latin small letter n with retroflex hook - combining ring below		0	-	-	0	-	+	-	-	+	0	-	-	-	-	0	0	-	0	-	-	0	-	+	-	-	0	0	-	+	-	-	-	-	-	0	0	-
ɳ̺	latin small letter n with retroflex hook - combining inverted bridge below		0	-	-	0	-	+	-	-	+	0	-	-	-	-	0	0	-	0	-	-	0	-	+	+	-	0	0	-	+	-	-	-	-	-	0	0	-
ɴ	latin letter small capital n		0	0	-	+	-	+	-	-	-	0	0	+	-	-	-	-	-	0	-	-	-	-	+	+	-	0	0	-	+	-	-	0	-	-	0	0	-
ɴː	latin letter small capital n - modifier letter triangular colon		0	0	-	+	-	+	-	-	-	0	0	+	-	-	-	-	-	0	-	+	-	-	+	+	-	0	0	-	+	-	-	0	-	-	0	0	-
ɵ	latin small letter barred o		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
ɵː	latin small letter barred o - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
ɵ̃	latin small letter barred o - combining tilde		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-	0	+	-	+	0	-
ɵ̆	latin small letter barred o - combining breve		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	+	+	-	-	0	+	-	+	0	-
ɵ̞	latin small letter barred o - combining down tack below		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	0	0	-
ɵ̞ː	latin small letter barred o - combining down tack below - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-	0	+	-	0	0	-
ɵ̞̆	latin small letter barred o - combining down tack below - combining breve		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	+	+	-	-	0	+	-	0	0	-
ɵ̞̰	latin small letter barred o - combining down tack below - combining tilde below		-	0	+	-	0	-	+	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	0	0	-
ɵ̟	latin small letter barred o - combining plus sign below		-	0	+	-	0	-	-	+	-	0	0	+	-	0	0	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-	0	+	-	+	0	-
ɵ̤	latin small letter barred o - combining diaeresis below		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	+	-	0	+	-	+	0	-
ɵ̤ː	latin small letter barred o - combining diaeresis below - modifier letter triangular colon		-	0	+	-	0	-	-	+	-	0	0	+	-	0	-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	+	-	0	+	-	+	0	-
