Grapheme	Name	Alias	anterior	approximant	back	click	consonantal	constricted	continuant	coronal	distributed	dorsal	high	labial	laryngeal	lateral	long	low	nasal	pharyngeal	place	preaspirated	preglottalized	prenasal	round	sibilant	sonorant	spread	strident	syllabic	tense	voice
mʷː	labialized long voiced bilabial nasal consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	+	0	+	0	+	0	0	0	+	0	-	-	0	-	-	+
mː	long voiced bilabial nasal consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	+	0	+	0	+	0	0	0	-	0	-	-	0	-	-	+
mˠ	velarized voiced bilabial nasal consonant		0	-	+	-	+	-	-	-	0	+	+	+	+	-	0	-	+	0	+	0	0	0	-	0	-	-	0	-	-	+
mˤː	pharyngealized long voiced bilabial nasal consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	+	0	+	+	+	0	0	0	-	0	-	-	0	-	-	+
m̥	devoiced voiced bilabial nasal consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	+	0	+	0	0	0	-	0	-	-	0	-	-	-
m̩	syllabic voiced bilabial nasal consonant		0	-	0	-	+	-	-	-	0	-	0	+	+	-	0	0	+	0	+	0	0	0	-	0	-	-	0	+	-	+
n	voiced alveolar nasal consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	+	-	-	+
nʲ	palatalized voiced alveolar nasal consonant		-	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	+	-	-	+
nː	long voiced alveolar nasal consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	+	0	+	0	+	0	0	0	0	-	-	-	+	-	-	+
nˤ	pharyngealized voiced alveolar nasal consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	+	+	+	0	0	0	0	-	-	-	+	-	-	+
n̥	devoiced voiced alveolar nasal consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	+	-	-	-
n̩	syllabic voiced alveolar nasal consonant		+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	+	+	-	+
n̪	voiced dental nasal consonant		+	-	0	-	+	-	-	+	+	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	+	-	+	+
n̪ˠ	velarized voiced dental nasal consonant		+	-	+	-	+	-	-	+	+	+	+	-	+	-	0	-	+	0	+	0	0	0	0	-	-	-	+	-	+	+
n̻	voiced laminal alveolar nasal consonant	n	+	-	0	-	+	-	-	+	-	-	0	-	+	-	0	0	+	0	+	0	0	0	0	-	-	-	+	-	-	+
n̼	voiced linguolabial nasal consonant		+	-	0	-	+	-	-	+	-	-	0	+	+	-	0	0	+	0	+	0	0	0	-	-	-	-	+	-	-	+
o	rounded close-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	+	+	-	0	-	-	0	+	0	0	0	+	0	+	-	0	+	+	+
oː	long rounded close-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	+	+	-	+	-	-	0	+	0	0	0	+	0	+	-	0	+	+	+
oˤ	pharyngealized rounded close-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	+	+	-	0	-	-	+	+	0	0	0	+	0	+	-	0	+	+	+
õ	nasalized rounded close-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	+	+	-	0	-	+	0	+	0	0	0	+	0	+	-	0	+	+	+
õː	long nasalized rounded close-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	+	+	-	+	-	+	0	+	0	0	0	+	0	+	-	0	+	+	+
ŏ	ultra-short rounded close-mid back vowel		-	+	+	-	-	-	+	-	+	+	-	+	+	-	-	-	-	0	+	0	0	0	+	0	+	-	0	+	+	+
